"Reference","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Manufacturer","Mfg part #","Digikey","Description"
"BT1","3000","","","","Majed-footprints:BAT_3000","https://www.keyelco.com/userAssets/file/M65p9.pdf","Keystone Electronics ","3000","36-3000-ND","BATTERY RETAINER COIN 12MM SMD"
"C1,C3,C6,C7,C8","0.1uF","","","","Capacitor_SMD:C_0603_1608Metric","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-250V_24.pdf","YAGEO ","CC0603KRX7R7BB104","311-1088-1-ND","0.1 µF ±10% 16V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C2,C9","0.1uF, 3.3V","","","","Capacitor_SMD:C_0402_1005Metric","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-250V_24.pdf","YAGEO","CC0402KRX7R8BB104","311-2077-1-ND","CAP CER 0.1UF 25V X7R 0402"
"C4","1uF","","","","Capacitor_SMD:C_0603_1608Metric","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-250V_24.pdf","YAGEO ","CC0603KRX5R8BB105","311-1445-1-ND","CAP CER 1UF 25V X5R 0603"
"C5","10uF","","","","Capacitor_SMD:C_0603_1608Metric","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-250V_24.pdf","YAGEO ","CC0603MRX5R6BB106","311-1817-1-ND","CAP CER 10UF 10V X5R 0603"
"D1","SK6812MINI","","","","LED_SMD:LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","  Adafruit Industries LLC","2686","  1528-1541-ND","ADDRESS LED DISC SERIAL RGB LED 10PK"
"J1","STM_PROGRAMER_PRT-14417","","","","Majed-footprints:SPARKFUN_PRT-14417","","  SparkFun Electronics","14417","1568-14417-ND ","QWIIC CONNECTOR SMD 4-PIN"
"R1,R3","10k","","","","Resistor_SMD:R_0402_1005Metric","https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","  YAGEO","RC0402JR-0710KL","311-10KJRCT-ND","RES 10K OHM 5% 1/16W 0402"
"R2","330","","","","Resistor_SMD:R_0402_1005Metric","https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","YAGEO","RC0603JR-07330RL","311-330GRCT-ND","RES 330 OHM 5% 1/10W 0603"
"U1","LIS3DHTR","","","","Package_LGA:LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y","https://www.st.com/resource/en/datasheet/cd00274221.pdf","STMicroelectronics","LIS3DHTR","497-10613-2-ND ","3-Axis Accelerometer, 2/4/8/16g range, I2C/SPI interface, LGA-16"
"U2","STM32L031G6U6TR","","","","Majed-footprints:UFQFPN28-4x4mm","https://www.st.com/resource/en/datasheet/stm32l031g4.pdf","STMicroelectronics","STM32L031G6U6TR","497-18805-2-ND","The brain of the system"
"U3","B3FS-1010","","","","Majed-footprints:B3FS-101_OMR","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3fs.pdf","B3FS-1010","B3FS-1010","SW1141-ND","SWITCH TACTILE SPST-NO 0.05A 24V"
